page,css_link_order,inline_style_attrs_count,inline_style_blocks_count,important_count,footer_variant_id,notes
generative-ai-sme-productivity-south-africa.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-muted mil-logo mil-up mil-mb-30-mil-subscribe-form mil-up-mil-up-mil-vert-between,
custom-ai-solutions.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-vert-between,
index.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.4,12,2,151,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-up mil-active-mil-vert-between,
debug-main.html,,0,1,0,no-footer,
knowledge.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,1,2,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-newsletter-form-container-mil-no-wrap-mil-social-icons mil-up-mil-up-mil-up mil-active-mil-vert-between,
privacy-policy.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-vert-between,
contact.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.4,0,1,20,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-up mil-active-mil-vert-between,
ready-to-deploy-solutions.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-vert-between,
ai-business-transformation-south-africa.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-muted mil-logo mil-up mil-mb-30-mil-subscribe-form mil-up-mil-up-mil-vert-between,
safari-test.html,,0,1,0,no-footer,
404.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-up mil-active-mil-vert-between,
ai-regulation-human-security-south-africa.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-muted mil-logo mil-up mil-mb-30-mil-subscribe-form mil-up-mil-up-mil-vert-between,
careers.html,css/style.css?v=3.3,0,0,0,no-footer,
cookie-policy.html,css/style.css?v=3.3,0,0,0,no-footer,
ai-adoption-south-african-smbs.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-muted mil-logo mil-up mil-mb-30-mil-subscribe-form mil-up-mil-up-mil-vert-between,
request-demo.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.4,12,1,16,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-arrow-place-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-vert-between,
ai-skills-essential-sap-survey.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-muted mil-logo mil-up mil-mb-30-mil-subscribe-form mil-up-mil-up-mil-vert-between,
bizinsight-ai.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-vert-between,
services.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.4,4,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-up mil-active-mil-vert-between,
terms-conditions.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,1,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-arrow-place-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-vert-between,
smartguest-ai.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-vert-between,
ai-mastery-workshops.html,css/plugins/bootstrap-grid.css | css/plugins/font-awesome.min.css | css/plugins/swiper.min.css | css/plugins/fancybox.min.css | css/style.css?v=3.3,0,0,0,col-md-4 col-lg-4 mil-mb-60-col-md-4 col-lg-6 mil-mb-60-col-md-6 col-lg-5 mil-mb-60-container mil-p-120-60-mil-button mil-icon-button-sm mil-arrow-place-mil-footer-logo-mil-footer-menu mil-mb-60-mil-light-soft-mil-light-soft mil-up-mil-light-soft mil-up mil-mb-30-mil-mb-30-mil-menu-list mil-up mil-mb-60-mil-muted mil-logo mil-up mil-mb-30-mil-muted mil-up mil-mb-30-mil-no-wrap-mil-social-icons mil-up-mil-subscribe-form mil-up-mil-up-mil-vert-between,
minimal-test.html,,0,1,0,no-footer,
